1,01E+18;en;02-07-18 1:34;Twitter for Android;101;0;1342;WorldCup;Footy Humour;FootyHumour;Eko Septian Mohamad;Kendari - Indonesia;197;256
1,01E+18;en;02-07-18 1:34;Twitter Lite;104;0;40;WorldCup,FRAARG;Al Jazeera English;AJEnglish;A. Morrell;;227;188
1,01E+18;en;02-07-18 1:34;Twitter for Android;49;0;0;WorldCup,BRA,MEX,BEL,JPN;;;FF18;;280;257
1,01E+18;en;02-07-18 1:34;Twitter for Android;99;0;5398;WorldCup,Cristiano,Ronaldo,Messi;BossLogic;Bosslogic;Mar Loves 1D;;1974;2018
1,01E+18;en;02-07-18 1:34;Twitter for Android;140;0;5;;United Indonesia,David De Gea;UtdIndonesia,d_degeaofficial;Zulfikar ali;;262;454
1,01E+18;en;02-07-18 1:34;Twitter Web Client;304;1;0;millionairemen,women,longtermrelationship,date,WorldCup,Pride,singles,luxury,fashion,girls,match,Lakers,Grayson,prettywomen,wealthywomen,millionairedating,theconnors,beautiful,prettygirls,richwomen,onlinedating;;;SuccessfulDating;;101;205
1,01E+18;en;02-07-18 1:34;Twitter for Android;144;0;34;worldcup;coachdogge;coachdogge;Azri Syafiq M.D;Area 51;263;350
1,01E+18;en;02-07-18 1:34;Postcron App;245;0;0;WorldCup,WorldCupRussia2018,FIFAWorldCup,Brazil,Mexico,ENG,WorldCup2018,mufc,LFC,MCFC,lufc,fifa;;;Grand National;United Kingdom;2221;254
1,01E+18;en;02-07-18 1:34;Twitter for Android;304;0;0;sunnyfamilydental,sunday,dentist,dentistry,dentista,dentistworld,happysunday,July,worldcup,Worldcup2018Russia,fifaworldcuprussia,fifacup,orthodontics,odontologia,oralsurgery,smile,usa,england;;;Dr. Shah;Chino Hills, CA;40;143
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;66;0;9727;WorldCup;Troll Football;TrollFootball;Habeeb;Lagos-Winnipeg;370;170
1,01E+18;en;02-07-18 1:34;dlvr.it;137;0;0;ESP,GER,ARG,POR,ENG,WorldCup;;;Sporting Chronicle®;England, United Kingdom;71690;70540
1,01E+18;en;02-07-18 1:34;Twitter for Android;140;0;413;WorldCup;Tottenham Hotspur,Christian Eriksen;SpursOfficial,ChrisEriksen8;Mateus Gabriel de Oliveira;Goiânia, Brasil;204;235
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;80;0;5344;WorldCup;B/R Football;brfootball;dinie;Osaka-shi Kita, Osaka;346;390
1,01E+18;en;02-07-18 1:34;Twitter for iPhone;106;21;3;WorldCup;;;LeJuan James;Orlando, FL;123087;316
1,01E+18;en;02-07-18 1:34;TweetDeck;114;0;0;WorldCup;;;BleacherReport;Los Angeles, CA;786;627
1,01E+18;en;02-07-18 1:33;Twitter for Android;84;0;37;ESPRUS,RUS,ESP,WorldCup,WM2018;SPOX Redaktion;spox;Flowi;Westhausen, Deutschland;84;522
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;1656;ESPRUS,WorldCup;FC Zenit in English;fczenit_en;Anand Saruk;Pune , India.;111;152
1,01E+18;en;02-07-18 1:33;Twitter for Android;66;0;9727;WorldCup;Troll Football;TrollFootball;Chelseaarmy45;Bekasi, Jawa Barat;194;37
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;1;WorldCup,ESPRUS,CRODEN;Gbenga Ajao,DStv;ajaotimi,DStv;Gbenga Ajao;Nigeria;3833;98
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;88;0;1;WorldCup,lamesauce;Adam Stewart;AdamG_Stewart;David Stephen;vancouver;65;185
1,01E+18;en;02-07-18 1:33;Twitter Web Client;140;0;2;Lakers,LeBron,nba,Cavs;J Choo;jchooworld;OrneryPiglett;OB*SF;2624;1534
1,01E+18;en;02-07-18 1:33;Twitter for Android;115;0;290;WorldCup;Footy Jokes;Footy_JokesOG;Melinda Regita C;Semarang, Indonesia;350;190
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;1;;Gbenga Ajao;ajaotimi;Gbenga Ajao;Nigeria;3833;98
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;140;0;401;airdrop,bitcoin,crypto,blockchain,exchange,FOR;Qurrex;qurrex;ynp;;1303;1164
1,01E+18;en;02-07-18 1:33;Twitter for Android;144;0;748;DEN,WorldCup;Premier League;premierleague;Alifand;Indonesia ;649;272
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;7759;;KNOXPETE;KnoxTainment;Israel;Houston, TX;49;215
1,01E+18;en;02-07-18 1:33;Twitter Web Client;120;0;731;WorldCup;Squawka Football;Squawka;Brian Fogg;Yuma, AZ;879;615
1,01E+18;en;02-07-18 1:33;Twitter Web Client;140;0;75;EU,migrants,hatespeech,WorldCup;PICUM;PICUM_post;Ahmed Fathi;New York, NY;2911;996
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;143;cro,den;Henry Winter;henrywinter;Nahrain Shinko;Sydney, Australia;78;408
1,01E+18;en;02-07-18 1:33;Twitter Lite;140;0;69;;BetKingCompare;betkingcompare;yang mitoglou;;0;0
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;334;ARG,POR,ESP,DEN,WorldCup;EA SPORTS FIFA;EASPORTSFIFA;Syafi'e;Singapore;323;143
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;2338;ARG;Squawka News;SquawkaNews;Mohamed Moussa;Ismalia, Egypt;22;452
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;139;0;645;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;Flaco;Pineville, LA;771;221
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;77;0;1;CRODEN,WorldCup;Amin Ali;aminali83;Akshay Malhotra;New Delhi, Delhi;739;1437
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;156;4;5;mufc,worldcup;David De Gea;d_degeaofficial;United Indonesia;Indonesia;1250993;385
1,01E+18;en;02-07-18 1:33;Twitter Web Client;140;0;38;;MR SUPERPIDGE;superpidge;neomi dodson;;0;0
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;139;0;645;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;RedGman NYC;New York, NY;2242;5001
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;139;0;645;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;Angélica Guarro;Orlando, FL;114;301
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;83;0;196;WorldCup;Darth Vader;DepressedDarth;James;England/Czech;1011;950
1,01E+18;en;02-07-18 1:33;Twitter for Android;181;0;0;ENG,WorldCup;;;Joey Lynch;Melbourne, Victoria;938;691
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;139;0;645;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;María Elena;Sioux City, IA;597;199
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;245;WorldCup,BELJPN;Simon Mignolet;SMignolet;Nader jaafar;Sao paulo - brazil ;262;252
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;99;0;5398;WorldCup,Cristiano,Ronaldo,Messi;BossLogic;Bosslogic;naseer basharee;;25;90
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;86;0;852;WorldCup;8bit-Football.com;8bitfootball;Clandestino;Republica de Puerto Rico ;208;880
1,01E+18;en;02-07-18 1:33;Twitter for Android;140;0;313;ATLUTD,WorldCup;11Alive Sports;11AliveSports;W M;Global Citizen;150;290
1,01E+18;en;02-07-18 1:33;Twitter Lite;139;0;276;WorldCup;Squawka Football;Squawka;Gita;Indonesia;124;35
1,01E+18;en;02-07-18 1:33;Twitter Web Client;108;0;3437;WorldCup;Bleacher Report;BleacherReport;Jay Glus;Fairview, PA;285;655
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;116;0;10978;FRAARG,WorldCup;Four-eyed Edo boy™;Alex_Houseof308;Halima;abuja;1133;433
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;139;0;646;;Mexican National Team,Oprah Winfrey;miseleccionmxEN,Oprah;Selena Rubio Aguilar;Atlanta Georgia;176;146
1,01E+18;en;02-07-18 1:33;Twitter for iPhone;140;0;10;BRAMEX,WorldCup;Football Battles;FootbaIIBattIes;Thato Kunene;Kuruman, South Africa;61;195
